fs	workload	ms	ops_or_mibs
corefs-fuse	create_200x4096B	94	2127 ops/s
corefs-fuse	read_200x4096B	49	4081 ops/s
corefs-fuse	stat_ls_200	5	-
corefs-fuse	seq_write_128MiB	1887	67 MiB/s
corefs-fuse	seq_read_128MiB	119	1075 MiB/s
corefs-fuse	fsync_50x4096B	11284	4 ops/s
corefs-fuse	rand4k_500ops_70r30w	797	627 ops/s
corefs-fuse	delete_200_small	26	-
corefs-fuse	append_log_2000x1KiB	362	5524 ops/s
ext4-direct	create_200x4096B	36	5555 ops/s
ext4-direct	read_200x4096B	33	6060 ops/s
ext4-direct	stat_ls_200	5	-
ext4-direct	seq_write_128MiB	194	659 MiB/s
ext4-direct	seq_read_128MiB	24	5333 MiB/s
ext4-direct	fsync_50x4096B	120	416 ops/s
ext4-direct	rand4k_500ops_70r30w	35	14285 ops/s
ext4-direct	delete_200_small	14	-
ext4-direct	append_log_2000x1KiB	37	54054 ops/s
