fs	workload	ms	ops_or_mibs
corefs-fuse	create_200x4096B	89	2247 ops/s
corefs-fuse	read_200x4096B	58	3448 ops/s
corefs-fuse	stat_ls_200	5	-
corefs-fuse	seq_write_128MiB	2649	48 MiB/s
corefs-fuse	seq_read_128MiB	109	1174 MiB/s
corefs-fuse	fsync_50x4096B	311	160 ops/s
corefs-fuse	rand4k_500ops_70r30w	1411	354 ops/s
corefs-fuse	delete_200_small	41	-
corefs-fuse	append_log_2000x1KiB	697	2869 ops/s
ext4-direct	create_200x4096B	37	5405 ops/s
ext4-direct	read_200x4096B	33	6060 ops/s
ext4-direct	stat_ls_200	5	-
ext4-direct	seq_write_128MiB	177	723 MiB/s
ext4-direct	seq_read_128MiB	23	5565 MiB/s
ext4-direct	fsync_50x4096B	121	413 ops/s
ext4-direct	rand4k_500ops_70r30w	34	14705 ops/s
ext4-direct	delete_200_small	13	-
ext4-direct	append_log_2000x1KiB	36	55555 ops/s
