fs	workload	ms	ops_or_mibs
corefs-fuse	create_200x4096B	87	2298 ops/s
corefs-fuse	read_200x4096B	58	3448 ops/s
corefs-fuse	stat_ls_200	5	-
corefs-fuse	seq_write_128MiB	1897	67 MiB/s
corefs-fuse	seq_read_128MiB	78	1641 MiB/s
corefs-fuse	fsync_50x4096B	12799	3 ops/s
corefs-fuse	rand4k_500ops_70r30w	883	566 ops/s
corefs-fuse	delete_200_small	29	-
corefs-fuse	append_log_2000x1KiB	386	5181 ops/s
ext4-direct	create_200x4096B	37	5405 ops/s
ext4-direct	read_200x4096B	33	6060 ops/s
ext4-direct	stat_ls_200	5	-
ext4-direct	seq_write_128MiB	175	731 MiB/s
ext4-direct	seq_read_128MiB	23	5565 MiB/s
ext4-direct	fsync_50x4096B	100	500 ops/s
ext4-direct	rand4k_500ops_70r30w	35	14285 ops/s
ext4-direct	delete_200_small	13	-
ext4-direct	append_log_2000x1KiB	37	54054 ops/s
