fs	workload	ms	ops_or_mibs
corefs-fuse	create_200x4096B	76	2631 ops/s
corefs-fuse	read_200x4096B	63	3174 ops/s
corefs-fuse	stat_ls_200	5	-
corefs-fuse	fsync_cold_50x4096B	538	92 ops/s
corefs-fuse	seq_write_128MiB	1858	68 MiB/s
corefs-fuse	seq_read_128MiB	71	1802 MiB/s
corefs-fuse	fsync_50x4096B	18778	2 ops/s
corefs-fuse	rand4k_500ops_70r30w	892	560 ops/s
corefs-fuse	delete_200_small	29	-
corefs-fuse	append_log_2000x1KiB	387	5167 ops/s
ext4-direct	create_200x4096B	38	5263 ops/s
ext4-direct	read_200x4096B	33	6060 ops/s
ext4-direct	stat_ls_200	5	-
ext4-direct	fsync_cold_50x4096B	106	471 ops/s
ext4-direct	seq_write_128MiB	169	757 MiB/s
ext4-direct	seq_read_128MiB	20	6400 MiB/s
ext4-direct	fsync_50x4096B	97	515 ops/s
ext4-direct	rand4k_500ops_70r30w	35	14285 ops/s
ext4-direct	delete_200_small	13	-
ext4-direct	append_log_2000x1KiB	37	54054 ops/s
