fs	workload	ms	ops_or_mibs
corefs-fuse	create_200x4096B	83	2409 ops/s
corefs-fuse	read_200x4096B	58	3448 ops/s
corefs-fuse	stat_ls_200	5	-
corefs-fuse	fsync_cold_50x4096B	541	92 ops/s
corefs-fuse	seq_write_128MiB	1951	65 MiB/s
corefs-fuse	seq_read_128MiB	71	1802 MiB/s
corefs-fuse	fsync_50x4096B	25039	1 ops/s
corefs-fuse	rand4k_500ops_70r30w	903	553 ops/s
corefs-fuse	delete_200_small	27	-
corefs-fuse	append_log_2000x1KiB	379	5277 ops/s
ext4-direct	create_200x4096B	36	5555 ops/s
ext4-direct	read_200x4096B	33	6060 ops/s
ext4-direct	stat_ls_200	5	-
ext4-direct	fsync_cold_50x4096B	118	423 ops/s
ext4-direct	seq_write_128MiB	190	673 MiB/s
ext4-direct	seq_read_128MiB	23	5565 MiB/s
ext4-direct	fsync_50x4096B	110	454 ops/s
ext4-direct	rand4k_500ops_70r30w	35	14285 ops/s
ext4-direct	delete_200_small	14	-
ext4-direct	append_log_2000x1KiB	37	54054 ops/s
