fs	workload	ms	ops_or_mibs
corefs-fuse	create_200x4096B	76	2631 ops/s
corefs-fuse	read_200x4096B	57	3508 ops/s
corefs-fuse	stat_ls_200	5	-
corefs-fuse	fsync_cold_50x4096B	505	99 ops/s
corefs-fuse	seq_write_128MiB	1904	67 MiB/s
corefs-fuse	seq_read_128MiB	4	32000 MiB/s
corefs-fuse	fsync_50x4096B	104	480 ops/s
corefs-fuse	rand4k_500ops_70r30w	35	14285 ops/s
corefs-fuse	delete_200_small	8	-
corefs-fuse	append_log_2000x1KiB	36	55555 ops/s
ext4-direct	create_200x4096B	39	5128 ops/s
ext4-direct	read_200x4096B	32	6250 ops/s
ext4-direct	stat_ls_200	5	-
ext4-direct	fsync_cold_50x4096B	111	450 ops/s
ext4-direct	seq_write_128MiB	192	666 MiB/s
ext4-direct	seq_read_128MiB	22	5818 MiB/s
ext4-direct	fsync_50x4096B	123	406 ops/s
ext4-direct	rand4k_500ops_70r30w	38	13157 ops/s
ext4-direct	delete_200_small	14	-
ext4-direct	append_log_2000x1KiB	36	55555 ops/s
