fs	workload	ms	ops_or_mibs
corefs-fuse	create_200x4096B	215	930 ops/s
corefs-fuse	read_200x4096B	52	3846 ops/s
corefs-fuse	stat_ls_200	5	-
corefs-fuse	fsync_cold_50x4096B	536	93 ops/s
corefs-fuse	seq_write_128MiB	1877	68 MiB/s
corefs-fuse	seq_read_128MiB	72	1777 MiB/s
corefs-fuse	fsync_50x4096B	8784	5 ops/s
corefs-fuse	rand4k_500ops_70r30w	835	598 ops/s
corefs-fuse	delete_200_small	29	-
corefs-fuse	append_log_2000x1KiB	390	5128 ops/s
ext4-direct	create_200x4096B	37	5405 ops/s
ext4-direct	read_200x4096B	33	6060 ops/s
ext4-direct	stat_ls_200	5	-
ext4-direct	fsync_cold_50x4096B	102	490 ops/s
ext4-direct	seq_write_128MiB	170	752 MiB/s
ext4-direct	seq_read_128MiB	22	5818 MiB/s
ext4-direct	fsync_50x4096B	123	406 ops/s
ext4-direct	rand4k_500ops_70r30w	34	14705 ops/s
ext4-direct	delete_200_small	13	-
ext4-direct	append_log_2000x1KiB	37	54054 ops/s
