fs	workload	ms	ops_or_mibs
corefs-fuse	create_200x4096B	86	2325 ops/s
corefs-fuse	read_200x4096B	71	2816 ops/s
corefs-fuse	stat_ls_200	5	-
corefs-fuse	fsync_cold_50x4096B	570	87 ops/s
corefs-fuse	seq_write_128MiB	2102	60 MiB/s
corefs-fuse	seq_read_128MiB	123	1040 MiB/s
corefs-fuse	fsync_50x4096B	353	141 ops/s
corefs-fuse	rand4k_500ops_70r30w	925	540 ops/s
corefs-fuse	delete_200_small	29	-
corefs-fuse	append_log_2000x1KiB	448	4464 ops/s
ext4-direct	create_200x4096B	39	5128 ops/s
ext4-direct	read_200x4096B	33	6060 ops/s
ext4-direct	stat_ls_200	5	-
ext4-direct	fsync_cold_50x4096B	110	454 ops/s
ext4-direct	seq_write_128MiB	186	688 MiB/s
ext4-direct	seq_read_128MiB	21	6095 MiB/s
ext4-direct	fsync_50x4096B	100	500 ops/s
ext4-direct	rand4k_500ops_70r30w	34	14705 ops/s
ext4-direct	delete_200_small	14	-
ext4-direct	append_log_2000x1KiB	40	50000 ops/s
