fs	workload	ms	ops_or_mibs
corefs-fuse	create_200x4096B	146	1369 ops/s
corefs-fuse	read_200x4096B	54	3703 ops/s
corefs-fuse	stat_ls_200	5	-
corefs-fuse	fsync_cold_50x4096B	537	93 ops/s
corefs-fuse	seq_write_128MiB	1388	92 MiB/s
corefs-fuse	seq_read_128MiB	72	1777 MiB/s
corefs-fuse	fsync_50x4096B	11869	4 ops/s
corefs-fuse	rand4k_500ops_70r30w	918	544 ops/s
corefs-fuse	delete_200_small	27	-
corefs-fuse	append_log_2000x1KiB	449	4454 ops/s
ext4-direct	create_200x4096B	37	5405 ops/s
ext4-direct	read_200x4096B	35	5714 ops/s
ext4-direct	stat_ls_200	5	-
ext4-direct	fsync_cold_50x4096B	128	390 ops/s
ext4-direct	seq_write_128MiB	199	643 MiB/s
ext4-direct	seq_read_128MiB	23	5565 MiB/s
ext4-direct	fsync_50x4096B	102	490 ops/s
ext4-direct	rand4k_500ops_70r30w	36	13888 ops/s
ext4-direct	delete_200_small	13	-
ext4-direct	append_log_2000x1KiB	36	55555 ops/s
