fs	workload	ms	ops_or_mibs
corefs-fuse	create_200x4096B	73	2739 ops/s
corefs-fuse	read_200x4096B	53	3773 ops/s
corefs-fuse	stat_ls_200	5	-
corefs-fuse	fsync_cold_50x4096B	573	87 ops/s
corefs-fuse	seq_write_128MiB	1385	92 MiB/s
corefs-fuse	seq_read_128MiB	70	1828 MiB/s
corefs-fuse	fsync_50x4096B	4254	11 ops/s
corefs-fuse	rand4k_500ops_70r30w	916	545 ops/s
corefs-fuse	delete_200_small	25	-
corefs-fuse	bigdir_create_5000	1139	4389 ops/s
corefs-fuse	append_log_2000x1KiB	548	3649 ops/s
ext4-direct	create_200x4096B	37	5405 ops/s
ext4-direct	read_200x4096B	35	5714 ops/s
ext4-direct	stat_ls_200	5	-
ext4-direct	fsync_cold_50x4096B	111	450 ops/s
ext4-direct	seq_write_128MiB	181	707 MiB/s
ext4-direct	seq_read_128MiB	36	3555 MiB/s
ext4-direct	fsync_50x4096B	104	480 ops/s
ext4-direct	rand4k_500ops_70r30w	33	15151 ops/s
ext4-direct	delete_200_small	13	-
ext4-direct	bigdir_create_5000	249	20080 ops/s
ext4-direct	append_log_2000x1KiB	39	51282 ops/s
