fs	workload	ms	ops_or_mibs
corefs-fuse	create_200x4096B	63	3174 ops/s
corefs-fuse	read_200x4096B	54	3703 ops/s
corefs-fuse	stat_ls_200	5	-
corefs-fuse	fsync_cold_50x4096B	530	94 ops/s
corefs-fuse	seq_write_128MiB	3030	42 MiB/s
corefs-fuse	seq_read_128MiB	820	156 MiB/s
corefs-fuse	fsync_50x4096B	77757	0 ops/s
corefs-fuse	rand4k_500ops_70r30w	2491	200 ops/s
corefs-fuse	delete_200_small	47	-
corefs-fuse	bigdir_create_5000	1139	4389 ops/s
corefs-fuse	append_log_2000x1KiB	2046	977 ops/s
ext4-direct	create_200x4096B	37	5405 ops/s
ext4-direct	read_200x4096B	32	6250 ops/s
ext4-direct	stat_ls_200	5	-
ext4-direct	fsync_cold_50x4096B	112	446 ops/s
ext4-direct	seq_write_128MiB	169	757 MiB/s
ext4-direct	seq_read_128MiB	21	6095 MiB/s
ext4-direct	fsync_50x4096B	102	490 ops/s
ext4-direct	rand4k_500ops_70r30w	34	14705 ops/s
ext4-direct	delete_200_small	13	-
ext4-direct	bigdir_create_5000	257	19455 ops/s
ext4-direct	append_log_2000x1KiB	38	52631 ops/s
