fs	workload	ms	ops_or_mibs
corefs-fuse	create_200x4096B	76	2631 ops/s
corefs-fuse	read_200x4096B	52	3846 ops/s
corefs-fuse	stat_ls_200	5	-
corefs-fuse	fsync_cold_50x4096B	534	93 ops/s
corefs-fuse	seq_write_128MiB	1876	68 MiB/s
corefs-fuse	seq_read_128MiB	72	1777 MiB/s
corefs-fuse	fsync_50x4096B	6553	7 ops/s
corefs-fuse	rand4k_500ops_70r30w	888	563 ops/s
corefs-fuse	delete_200_small	27	-
corefs-fuse	append_log_2000x1KiB	387	5167 ops/s
ext4-direct	create_200x4096B	36	5555 ops/s
ext4-direct	read_200x4096B	36	5555 ops/s
ext4-direct	stat_ls_200	5	-
ext4-direct	fsync_cold_50x4096B	120	416 ops/s
ext4-direct	seq_write_128MiB	182	703 MiB/s
ext4-direct	seq_read_128MiB	24	5333 MiB/s
ext4-direct	fsync_50x4096B	124	403 ops/s
ext4-direct	rand4k_500ops_70r30w	33	15151 ops/s
ext4-direct	delete_200_small	13	-
ext4-direct	append_log_2000x1KiB	37	54054 ops/s
