fs	workload	ms	metric
corefs-winfsp	create_64x4096B	95	675,17 ops/s
corefs-winfsp	read_64x4096B	69	928,66 ops/s
corefs-winfsp	stat_list_64	5	-
corefs-winfsp	fsync_cold_8x4096B	57	139,67 ops/s
corefs-winfsp	seq_write_32MiB	1079	29,66 MiB/s
corefs-winfsp	seq_read_32MiB	410	78,01 MiB/s
corefs-winfsp	fsync_8x4096B	1048	7,63 ops/s
corefs-winfsp	rand4k_128ops_70r30w	2131	60,07 ops/s
corefs-winfsp	delete_64_small	601	-
corefs-winfsp	bigdir_create_512	401	1.277,11 ops/s
corefs-winfsp	append_log_256x1KiB	499	512,83 ops/s
ntfs-direct	create_64x4096B	24	2.699,62 ops/s
ntfs-direct	read_64x4096B	6	11.386,08 ops/s
ntfs-direct	stat_list_64	1	-
ntfs-direct	fsync_cold_8x4096B	8	990,49 ops/s
ntfs-direct	seq_write_32MiB	21	1.498,65 MiB/s
ntfs-direct	seq_read_32MiB	9	3.623,52 MiB/s
ntfs-direct	fsync_8x4096B	9	865,63 ops/s
ntfs-direct	rand4k_128ops_70r30w	8	16.347,59 ops/s
ntfs-direct	delete_64_small	43	-
ntfs-direct	bigdir_create_512	165	3.096,19 ops/s
ntfs-direct	append_log_256x1KiB	2	139.684,62 ops/s
