fs	workload	ms	metric
corefs-winfsp	create_64x4096B	72	893,80 ops/s
corefs-winfsp	read_64x4096B	57	1.114,55 ops/s
corefs-winfsp	stat_list_64	4	-
corefs-winfsp	fsync_cold_8x4096B	51	157,37 ops/s
corefs-winfsp	seq_write_32MiB	220	145,20 MiB/s
corefs-winfsp	seq_read_32MiB	29	1.113,49 MiB/s
corefs-winfsp	fsync_8x4096B	1007	7,95 ops/s
corefs-winfsp	rand4k_128ops_70r30w	709	180,54 ops/s
corefs-winfsp	delete_64_small	16	-
corefs-winfsp	bigdir_create_512	235	2.175,34 ops/s
corefs-winfsp	append_log_256x1KiB	157	1.626,61 ops/s
ntfs-direct	create_64x4096B	22	2.965,05 ops/s
ntfs-direct	read_64x4096B	6	11.218,03 ops/s
ntfs-direct	stat_list_64	1	-
ntfs-direct	fsync_cold_8x4096B	9	932,50 ops/s
ntfs-direct	seq_write_32MiB	21	1.516,90 MiB/s
ntfs-direct	seq_read_32MiB	9	3.565,66 MiB/s
ntfs-direct	fsync_8x4096B	8	945,11 ops/s
ntfs-direct	rand4k_128ops_70r30w	8	16.190,24 ops/s
ntfs-direct	delete_64_small	53	-
ntfs-direct	bigdir_create_512	154	3.323,89 ops/s
ntfs-direct	append_log_256x1KiB	2	164.155,18 ops/s
