fs	workload	ms	metric
corefs-winfsp	create_64x4096B	72	891,43 ops/s
corefs-winfsp	read_64x4096B	57	1.119,53 ops/s
corefs-winfsp	stat_list_64	4	-
corefs-winfsp	fsync_cold_8x4096B	48	166,58 ops/s
corefs-winfsp	seq_write_32MiB	215	148,53 MiB/s
corefs-winfsp	seq_read_32MiB	27	1.181,73 MiB/s
corefs-winfsp	fsync_8x4096B	968	8,27 ops/s
corefs-winfsp	rand4k_128ops_70r30w	189	678,51 ops/s
corefs-winfsp	delete_64_small	17	-
corefs-winfsp	bigdir_create_512	421	1.215,32 ops/s
corefs-winfsp	append_log_256x1KiB	186	1.374,06 ops/s
ntfs-direct	create_64x4096B	21	3.084,03 ops/s
ntfs-direct	read_64x4096B	6	11.399,87 ops/s
ntfs-direct	stat_list_64	1	-
ntfs-direct	fsync_cold_8x4096B	8	986,23 ops/s
ntfs-direct	seq_write_32MiB	21	1.552,70 MiB/s
ntfs-direct	seq_read_32MiB	9	3.583,35 MiB/s
ntfs-direct	fsync_8x4096B	8	1.040,81 ops/s
ntfs-direct	rand4k_128ops_70r30w	7	17.276,52 ops/s
ntfs-direct	delete_64_small	55	-
ntfs-direct	bigdir_create_512	148	3.449,90 ops/s
ntfs-direct	append_log_256x1KiB	2	151.255,54 ops/s
