fs	workload	ms	metric
corefs-winfsp	create_64x4096B	67	952,34 ops/s
corefs-winfsp	read_64x4096B	56	1.138,06 ops/s
corefs-winfsp	stat_list_64	4	-
corefs-winfsp	fsync_cold_8x4096B	49	163,76 ops/s
corefs-winfsp	seq_write_32MiB	229	139,71 MiB/s
corefs-winfsp	seq_read_32MiB	26	1.211,83 MiB/s
corefs-winfsp	fsync_8x4096B	988	8,09 ops/s
corefs-winfsp	rand4k_128ops_70r30w	192	665,88 ops/s
corefs-winfsp	delete_64_small	15	-
corefs-winfsp	bigdir_create_512	426	1.202,95 ops/s
corefs-winfsp	append_log_256x1KiB	191	1.337,06 ops/s
ntfs-direct	create_64x4096B	22	2.868,78 ops/s
ntfs-direct	read_64x4096B	6	11.177,48 ops/s
ntfs-direct	stat_list_64	1	-
ntfs-direct	fsync_cold_8x4096B	8	955,20 ops/s
ntfs-direct	seq_write_32MiB	21	1.518,31 MiB/s
ntfs-direct	seq_read_32MiB	9	3.690,63 MiB/s
ntfs-direct	fsync_8x4096B	8	1.010,79 ops/s
ntfs-direct	rand4k_128ops_70r30w	10	12.611,96 ops/s
ntfs-direct	delete_64_small	42	-
ntfs-direct	bigdir_create_512	147	3.485,40 ops/s
ntfs-direct	append_log_256x1KiB	2	157.859,04 ops/s
