fs	workload	ms	metric
corefs-winfsp	create_64x4096B	74	862,87 ops/s
corefs-winfsp	read_64x4096B	59	1.091,90 ops/s
corefs-winfsp	stat_list_64	4	-
corefs-winfsp	fsync_cold_8x4096B	48	168,05 ops/s
corefs-winfsp	seq_write_32MiB	220	145,16 MiB/s
corefs-winfsp	seq_read_32MiB	27	1.181,41 MiB/s
corefs-winfsp	fsync_8x4096B	1027	7,79 ops/s
corefs-winfsp	rand4k_128ops_70r30w	202	634,72 ops/s
corefs-winfsp	delete_64_small	16	-
corefs-winfsp	bigdir_create_512	256	1.996,44 ops/s
corefs-winfsp	append_log_256x1KiB	198	1.294,74 ops/s
ntfs-direct	create_64x4096B	23	2.816,90 ops/s
ntfs-direct	read_64x4096B	6	11.183,53 ops/s
ntfs-direct	stat_list_64	1	-
ntfs-direct	fsync_cold_8x4096B	8	974,99 ops/s
ntfs-direct	seq_write_32MiB	20	1.578,98 MiB/s
ntfs-direct	seq_read_32MiB	10	3.334,69 MiB/s
ntfs-direct	fsync_8x4096B	8	992,78 ops/s
ntfs-direct	rand4k_128ops_70r30w	9	14.801,97 ops/s
ntfs-direct	delete_64_small	43	-
ntfs-direct	bigdir_create_512	149	3.427,43 ops/s
ntfs-direct	append_log_256x1KiB	2	143.699,13 ops/s
