fs	workload	ms	metric
corefs-winfsp	create_64x4096B	71	903,48 ops/s
corefs-winfsp	read_64x4096B	58	1.113,01 ops/s
corefs-winfsp	stat_list_64	4	-
corefs-winfsp	fsync_cold_8x4096B	43	185,19 ops/s
corefs-winfsp	seq_write_32MiB	220	145,69 MiB/s
corefs-winfsp	seq_read_32MiB	26	1.226,08 MiB/s
corefs-winfsp	fsync_8x4096B	1003	7,98 ops/s
corefs-winfsp	rand4k_128ops_70r30w	192	667,85 ops/s
corefs-winfsp	delete_64_small	19	-
corefs-winfsp	bigdir_create_512	438	1.169,35 ops/s
corefs-winfsp	append_log_256x1KiB	347	737,43 ops/s
ntfs-direct	create_64x4096B	24	2.675,06 ops/s
ntfs-direct	read_64x4096B	6	10.300,48 ops/s
ntfs-direct	stat_list_64	1	-
ntfs-direct	fsync_cold_8x4096B	9	927,47 ops/s
ntfs-direct	seq_write_32MiB	22	1.466,82 MiB/s
ntfs-direct	seq_read_32MiB	10	3.146,17 MiB/s
ntfs-direct	fsync_8x4096B	9	922,86 ops/s
ntfs-direct	rand4k_128ops_70r30w	10	12.625,64 ops/s
ntfs-direct	delete_64_small	47	-
ntfs-direct	bigdir_create_512	167	3.065,40 ops/s
ntfs-direct	append_log_256x1KiB	2	150.943,40 ops/s
