fs	workload	ms	metric
corefs-winfsp	create_64x4096B	70	911,35 ops/s
corefs-winfsp	read_64x4096B	57	1.124,65 ops/s
corefs-winfsp	stat_list_64	4	-
corefs-winfsp	fsync_cold_8x4096B	51	156,44 ops/s
corefs-winfsp	seq_write_32MiB	222	144,14 MiB/s
corefs-winfsp	seq_read_32MiB	28	1.139,41 MiB/s
corefs-winfsp	fsync_8x4096B	996	8,03 ops/s
corefs-winfsp	rand4k_128ops_70r30w	202	633,12 ops/s
corefs-winfsp	delete_64_small	16	-
corefs-winfsp	bigdir_create_512	411	1.246,00 ops/s
corefs-winfsp	append_log_256x1KiB	205	1.246,81 ops/s
ntfs-direct	create_64x4096B	24	2.691,33 ops/s
ntfs-direct	read_64x4096B	6	11.001,86 ops/s
ntfs-direct	stat_list_64	1	-
ntfs-direct	fsync_cold_8x4096B	8	959,79 ops/s
ntfs-direct	seq_write_32MiB	21	1.555,05 MiB/s
ntfs-direct	seq_read_32MiB	9	3.414,54 MiB/s
ntfs-direct	fsync_8x4096B	8	1.007,52 ops/s
ntfs-direct	rand4k_128ops_70r30w	9	14.440,11 ops/s
ntfs-direct	delete_64_small	55	-
ntfs-direct	bigdir_create_512	146	3.518,27 ops/s
ntfs-direct	append_log_256x1KiB	2	156.440,97 ops/s
