fs	workload	ms	metric
corefs-winfsp	create_64x4096B	80	801,08 ops/s
corefs-winfsp	read_64x4096B	58	1.101,08 ops/s
corefs-winfsp	stat_list_64	4	-
corefs-winfsp	fsync_cold_8x4096B	39	205,44 ops/s
corefs-winfsp	seq_write_32MiB	234	136,59 MiB/s
corefs-winfsp	seq_read_32MiB	26	1.237,50 MiB/s
corefs-winfsp	fsync_8x4096B	991	8,08 ops/s
corefs-winfsp	rand4k_128ops_70r30w	195	655,25 ops/s
corefs-winfsp	delete_64_small	16	-
corefs-winfsp	bigdir_create_512	437	1.171,13 ops/s
corefs-winfsp	append_log_256x1KiB	166	1.539,21 ops/s
ntfs-direct	create_64x4096B	26	2.464,70 ops/s
ntfs-direct	read_64x4096B	6	10.311,60 ops/s
ntfs-direct	stat_list_64	1	-
ntfs-direct	fsync_cold_8x4096B	9	896,19 ops/s
ntfs-direct	seq_write_32MiB	21	1.506,81 MiB/s
ntfs-direct	seq_read_32MiB	10	3.237,33 MiB/s
ntfs-direct	fsync_8x4096B	10	824,66 ops/s
ntfs-direct	rand4k_128ops_70r30w	10	13.418,32 ops/s
ntfs-direct	delete_64_small	61	-
ntfs-direct	bigdir_create_512	168	3.044,54 ops/s
ntfs-direct	append_log_256x1KiB	2	154.898,05 ops/s
