fs	workload	ms	metric
corefs-winfsp	create_64x4096B	91	699,94 ops/s
corefs-winfsp	read_64x4096B	75	847,75 ops/s
corefs-winfsp	stat_list_64	11	-
corefs-winfsp	fsync_cold_8x4096B	63	126,85 ops/s
corefs-winfsp	seq_write_32MiB	263	121,71 MiB/s
corefs-winfsp	seq_read_32MiB	38	832,25 MiB/s
corefs-winfsp	fsync_8x4096B	1050	7,62 ops/s
corefs-winfsp	rand4k_128ops_70r30w	202	634,56 ops/s
corefs-winfsp	delete_64_small	28	-
corefs-winfsp	bigdir_create_512	297	1.722,20 ops/s
corefs-winfsp	append_log_256x1KiB	182	1.403,66 ops/s
ntfs-direct	create_64x4096B	25	2.610,44 ops/s
ntfs-direct	read_64x4096B	6	10.917,78 ops/s
ntfs-direct	stat_list_64	1	-
ntfs-direct	fsync_cold_8x4096B	8	962,61 ops/s
ntfs-direct	seq_write_32MiB	22	1.438,40 MiB/s
ntfs-direct	seq_read_32MiB	10	3.181,93 MiB/s
ntfs-direct	fsync_8x4096B	9	887,68 ops/s
ntfs-direct	rand4k_128ops_70r30w	11	11.927,17 ops/s
ntfs-direct	delete_64_small	57	-
ntfs-direct	bigdir_create_512	162	3.159,73 ops/s
ntfs-direct	append_log_256x1KiB	2	166.731,80 ops/s
